movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
The Rescuers Down Under,1990-11,Adventure,G,27931461.0,55796728.0
3 Men and a Little Lady,1990-11,Comedy,PG,71609321.0,143108869.0
Green Card,1990-12,Romantic Comedy,PG-13,29804169.0,59679131.0
White Fang,1991-01,Adventure,PG,34729091.0,69540672.0
Scenes from a Mall,1991-02,Comedy,,9563393.0,19149495.0
Haakon Haakonsen,1991-03,Adventure,PG,15024232.0,30084149.0
The Marrying Man,1991-04,Romantic Comedy,R,12454768.0,24939118.0
Oscar,1991-04,Comedy,PG,23562716.0,47181395.0
One Good Cop,1991-05,Action,R,11276846.0,22580472.0
What About Bob?,1991-05,Comedy,PG,63710000.0,127571325.0
Wild Hearts Can't Be Broken,1991-05,Drama,,7300000.0,14617333.0
The Rocketeer,1991-06,Action,PG,46573027.0,93256673.0
The Doctor,1991-07,Drama,PG-13,37497480.0,75084021.0
Paradise,1991-09,Drama,PG-13,18634643.0,37313540.0
Deceived,1991-09,Thriller/Suspense,PG-13,28738096.0,57544453.0
Ernest Scared Stupid,1991-10,Comedy,PG,14143280.0,28320147.0
Billy Bathgate,1991-11,Drama,R,15565363.0,31167691.0
Beauty and the Beast,1991-11,Musical,G,218951625.0,363017667.0
Father of the Bride,1991-12,Comedy,PG,89325780.0,179821881.0
The Hand That Rocks the Cradle,1992-01,Thriller/Suspense,R,88036683.0,178831137.0
Medicine Man,1992-02,Drama,PG-13,44948240.0,91304495.0
Blame it on the Bellboy,1992-03,Comedy,PG-13,2891055.0,5872667.0
Noises Off...,1992-03,Comedy,PG-13,2280148.0,4631720.0
Straight Talk,1992-04,Comedy,PG,21202099.0,43068356.0
Newsies,1992-04,,PG,2706352.0,5497481.0
Passed Away,1992-04,,PG-13,4030793.0,8187848.0
Encino Man,1992-05,Comedy,PG,40057130.0,81369058.0
Sister Act,1992-05,Comedy,PG,139605150.0,283583472.0
Honey I Blew Up the Kid,1992-07,Comedy,PG,58662452.0,119162518.0
A Stranger Among Us,1992-07,Drama,PG-13,12282994.0,24950752.0
3 Ninjas,1992-08,Action,PG,29028000.0,58965304.0
A Gun in Betty Lou's Handbag,1992-08,,PG-13,3591460.0,7295423.0
Captain Ron,1992-09,Comedy,PG-13,22518097.0,45741576.0
Sarafina!,1992-09,Drama,PG-13,7306242.0,14841352.0
Innocent Blood,1992-09,Horror,R,4877567.0,9907922.0
The Mighty Ducks,1992-10,Comedy,PG,50752337.0,103120810.0
1492: Conquest of Paradise,1992-10,Adventure,PG-13,7099531.0,14421454.0
Consenting Adults,1992-10,Drama,R,21591728.0,43859823.0
Aladdin,1992-11,Comedy,G,217350219.0,441969178.0
The Distinguished Gentleman,1992-12,Comedy,R,46434570.0,94349900.0
The Muppet Christmas Carol,1992-12,Comedy,G,27281507.0,55417615.0
Alive,1993-01,Adventure,R,36299670.0,73914543.0
